train_loss,epoch,step,val_loss,val_mse,train_mse,test_mse
0.45394742488861084,0,49,,,,
,0,61,0.6217244267463684,0.6217244267463684,,
,0,61,,,0.7299191951751709,
0.8297058343887329,1,99,,,,
,1,123,0.5325694680213928,0.5325694680213928,,
,1,123,,,0.6112765669822693,
0.5276432037353516,2,149,,,,
,2,185,0.4658539295196533,0.4658539295196533,,
,2,185,,,0.5209794640541077,
0.30205175280570984,3,199,,,,
,3,247,0.41369375586509705,0.41369375586509705,,
,3,247,,,0.4543222188949585,
0.3416000008583069,4,249,,,,
0.5464944839477539,4,299,,,,
,4,309,0.372244268655777,0.372244268655777,,
,4,309,,,0.40215805172920227,
0.33794236183166504,5,349,,,,
,5,371,0.33855193853378296,0.33855193853378296,,
,5,371,,,0.3634195625782013,
0.10641683638095856,6,399,,,,
,6,433,0.3126443326473236,0.3126443326473236,,
,6,433,,,0.32936495542526245,
0.15483860671520233,7,449,,,,
,7,495,0.29148703813552856,0.29148703813552856,,
,7,495,,,0.30895301699638367,
0.24214786291122437,8,499,,,,
0.23674796521663666,8,549,,,,
,8,557,0.274536669254303,0.274536669254303,,
,8,557,,,0.29060664772987366,
0.22841335833072662,9,599,,,,
,9,619,0.2615872323513031,0.2615872323513031,,
,9,619,,,0.2749975025653839,
0.19804412126541138,10,649,,,,
,10,681,0.25143003463745117,0.25143003463745117,,
,10,681,,,0.2639082074165344,
0.8784890174865723,11,699,,,,
,11,743,0.24335439503192902,0.24335439503192902,,
,11,743,,,0.25704917311668396,
0.14307597279548645,12,749,,,,
0.25199437141418457,12,799,,,,
,12,805,0.237228125333786,0.237228125333786,,
,12,805,,,0.24757929146289825,
0.2953741252422333,13,849,,,,
,13,867,0.23207828402519226,0.23207828402519226,,
,13,867,,,0.24553684890270233,
0.17884977161884308,14,899,,,,
,14,929,0.22777806222438812,0.22777806222438812,,
,14,929,,,0.24468371272087097,
0.21142643690109253,15,949,,,,
,15,991,0.22425445914268494,0.22425445914268494,,
,15,991,,,0.24112293124198914,
0.09888898581266403,16,999,,,,
1.255621314048767,16,1049,,,,
,16,1053,0.22131364047527313,0.22131364047527313,,
,16,1053,,,0.23796729743480682,
0.31360480189323425,17,1099,,,,
,17,1115,0.21885377168655396,0.21885377168655396,,
,17,1115,,,0.23667453229427338,
0.12700694799423218,18,1149,,,,
,18,1177,0.2167239636182785,0.2167239636182785,,
,18,1177,,,0.23537521064281464,
0.12027958035469055,19,1199,,,,
,19,1239,0.21474428474903107,0.21474428474903107,,
,19,1239,,,0.2348216027021408,
0.11084697395563126,20,1249,,,,
0.2315225601196289,20,1299,,,,
,20,1301,0.21311181783676147,0.21311181783676147,,
,20,1301,,,0.23088683187961578,
0.12260931730270386,21,1349,,,,
,21,1363,0.21153055131435394,0.21153055131435394,,
,21,1363,,,0.23247022926807404,
0.20342662930488586,22,1399,,,,
,22,1425,0.21005001664161682,0.21005001664161682,,
,22,1425,,,0.23082129657268524,
0.1974887251853943,23,1449,,,,
,23,1487,0.2087685465812683,0.2087685465812683,,
,23,1487,,,0.23016349971294403,
0.33878087997436523,24,1499,,,,
0.09618151187896729,24,1549,,,,
,24,1549,0.2075909823179245,0.2075909823179245,,
,24,1549,,,0.2296932488679886,
0.22501429915428162,25,1599,,,,
,25,1611,0.20635506510734558,0.20635506510734558,,
,25,1611,,,0.22857040166854858,
0.41344350576400757,26,1649,,,,
,26,1673,0.2052404284477234,0.2052404284477234,,
,26,1673,,,0.22704213857650757,
0.1460408866405487,27,1699,,,,
,27,1735,0.20328761637210846,0.20328761637210846,,
,27,1735,,,0.20758937299251556,
0.3125248849391937,28,1749,,,,
,28,1797,0.20236298441886902,0.20236298441886902,,
,28,1797,,,0.2253490537405014,
0.12150225043296814,29,1799,,,,
0.11762461066246033,29,1849,,,,
,29,1859,0.2013813853263855,0.2013813853263855,,
,29,1859,,,0.22554562985897064,
,30,1860,0.22472351789474487,0.22472351789474487,,
,30,1860,0.2013813853263855,0.2013813853263855,,
,30,1860,,,,0.23139448463916779
